CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;COLUNA_DF;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Outros Resultados Abrangentes;5.05.02.02;Tributos s/ Ajustes Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Patrimônio Líquido;5.05.02.02;Tributos s/ Ajustes Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Patrimônio Líquido;5.05.02.02;Tributos s/ Ajustes Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Capital Social Integralizado;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Capital Social Integralizado;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Lucro;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Lucro;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Lucros ou Prejuízos Acumulados;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Lucros ou Prejuízos Acumulados;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Outros Resultados Abrangentes;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Outros Resultados Abrangentes;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Patrimônio Líquido;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Patrimônio Líquido;5.05.02.03;Equiv. Patrim. s/Result. Abrang. Controladas e Coligadas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Capital Social Integralizado;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Capital Social Integralizado;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Lucro;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Lucro;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Lucros ou Prejuízos Acumulados;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Lucros ou Prejuízos Acumulados;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Outros Resultados Abrangentes;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Outros Resultados Abrangentes;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Patrimônio Líquido;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Patrimônio Líquido;5.05.02.04;Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Capital Social Integralizado;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Capital Social Integralizado;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Lucro;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Lucro;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Lucros ou Prejuízos Acumulados;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Lucros ou Prejuízos Acumulados;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Outros Resultados Abrangentes;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Outros Resultados Abrangentes;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Patrimônio Líquido;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Patrimônio Líquido;5.05.02.05;Tributos s/ Ajustes de Conversão do Período;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Capital Social Integralizado;5.05.03;Reclassificações para o Resultado;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Capital Social Integralizado;5.05.03;Reclassificações para o Resultado;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.03;Reclassificações para o Resultado;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.03;Reclassificações para o Resultado;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Lucro;5.05.03;Reclassificações para o Resultado;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Lucro;5.05.03;Reclassificações para o Resultado;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Lucros ou Prejuízos Acumulados;5.05.03;Reclassificações para o Resultado;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Lucros ou Prejuízos Acumulados;5.05.03;Reclassificações para o Resultado;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Outros Resultados Abrangentes;5.05.03;Reclassificações para o Resultado;395.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Outros Resultados Abrangentes;5.05.03;Reclassificações para o Resultado;362.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Patrimônio Líquido;5.05.03;Reclassificações para o Resultado;395.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Patrimônio Líquido;5.05.03;Reclassificações para o Resultado;362.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Capital Social Integralizado;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Capital Social Integralizado;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Lucro;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Lucro;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Lucros ou Prejuízos Acumulados;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Lucros ou Prejuízos Acumulados;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Outros Resultados Abrangentes;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Outros Resultados Abrangentes;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Patrimônio Líquido;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Patrimônio Líquido;5.05.03.01;Ajustes de Instrumentos Financeiros;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Capital Social Integralizado;5.05.03.02;Outros;0.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Capital Social Integralizado;5.05.03.02;Outros;0.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.03.02;Outros;0.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.05.03.02;Outros;0.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Lucro;5.05.03.02;Outros;0.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Lucro;5.05.03.02;Outros;0.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Lucros ou Prejuízos Acumulados;5.05.03.02;Outros;0.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Lucros ou Prejuízos Acumulados;5.05.03.02;Outros;0.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Outros Resultados Abrangentes;5.05.03.02;Outros;395.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Outros Resultados Abrangentes;5.05.03.02;Outros;362.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Patrimônio Líquido;5.05.03.02;Outros;395.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Patrimônio Líquido;5.05.03.02;Outros;362.0000000000;N
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Capital Social Integralizado;5.06;Mutações Internas do Patrimônio Líquido;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Capital Social Integralizado;5.06;Mutações Internas do Patrimônio Líquido;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.06;Mutações Internas do Patrimônio Líquido;139997.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.06;Mutações Internas do Patrimônio Líquido;414442.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Lucro;5.06;Mutações Internas do Patrimônio Líquido;1055783.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Lucro;5.06;Mutações Internas do Patrimônio Líquido;-151194.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Lucros ou Prejuízos Acumulados;5.06;Mutações Internas do Patrimônio Líquido;-1187232.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Lucros ou Prejuízos Acumulados;5.06;Mutações Internas do Patrimônio Líquido;-256752.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Outros Resultados Abrangentes;5.06;Mutações Internas do Patrimônio Líquido;-8548.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Outros Resultados Abrangentes;5.06;Mutações Internas do Patrimônio Líquido;-6496.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Patrimônio Líquido;5.06;Mutações Internas do Patrimônio Líquido;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Patrimônio Líquido;5.06;Mutações Internas do Patrimônio Líquido;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Capital Social Integralizado;5.06.01;Constituição de Reservas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Capital Social Integralizado;5.06.01;Constituição de Reservas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.06.01;Constituição de Reservas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.06.01;Constituição de Reservas;0.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Reservas de Lucro;5.06.01;Constituição de Reservas;862173.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Reservas de Lucro;5.06.01;Constituição de Reservas;263248.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;Lucros ou Prejuízos Acumulados;5.06.01;Constituição de Reservas;-862173.0000000000;S
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DF Individual - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;Lucros ou Prejuízos Acumulados;5.06.01;Constituição de Reservas;-263248.0000000000;S
